,words,messages,ids,urls
14,iteration,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
15,of,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
16,an,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
17,"algorithm,","Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
18,so,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
19,I,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
20,wanted,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
21,to,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
22,inspect,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
23,how,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
24,each,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
25,iteration,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
26,effects,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
27,the,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
28,aggregators.,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
29,Thanks,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
30,a,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
31,lot,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
32,for,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
33,your,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
34,time,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
35,@rik,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
36,and,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
37,@mingxiwu!,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
38,I,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
39,really,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
40,appreciate,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
41,it!,"Gotcha :slight_smile:
Yeah - I was specifically looking for a way to ""debug"" each iteration of an algorithm, so I wanted to inspect how each iteration effects the aggregators.

Thanks a lot for your time @rik and @mingxiwu!
I really appreciate it!",1796,https://community.tigergraph.com/t/debug-printing-vertices-content/624
42,This,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
43,was,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
44,really,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
45,"interesting,","This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
46,as,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
47,it,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
48,demonstrates,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
49,an,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
50,enhancement,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
51,in,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
52,2.6,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
53,that,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
54,I,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
55,"missed,","This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
56,but,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
57,it,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
58,really,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
59,makes,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
60,some,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
61,things,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
62,much,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
63,more,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
64,elegant.,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
65,You,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
66,can,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
67,apply,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
68,a,"This was really interesting, as it demonstrates an enhancement in 2.6 that I missed, but it really makes some things much more elegant. 

You can apply a vertex set as the target now. If you use the global accumulator as-is, then it assumes it is a list of strings defining a set of types (which was an enhancement so we could parameterise the types for our standard algorithms).

But, if you convert the accumulator to a vertex set using the curly-bracket syntax, then you can use it directly. This fragment is legal syntax:

    SetAccum<Vertex> @@target;
    SetAccum<Vertex> @@source;
    	
    source_vset  = {@@source};
    target_vset = {@@target};

    frontier = SELECT u
    FROM source_vset:u-()-target_vset:t;",1795,https://community.tigergraph.com/t/using-vertex-set-accum-as-target-set/627
